"Orthogroup" "PS_dup_1" "PS_dup_2" "N_dup_1" "N_dup_2" "DN" "C" "SB" "SP"
"1" "OG0000898" 0 1 0 0 0 0 0 0
"2" "OG0000899" 0 1 0 0 0 0 0 0
"3" "OG0000900" 0 0 0 0 0 0.910635783351889 0.910635783351889 0
"4" "OG0000901" 0 0 0 0 0 0.95074586475389 0.95074586475389 0
"5" "OG0000905" 1 0 0 0 0 0 0 0
"6" "OG0000908" 0 0 1 0 0 0 0 0
"7" "OG0000910" 0 0 0.0448113899673104 0 0 0 0 0
"8" "OG0000915" 0 0 0 0 0 1 1 0
"9" "OG0000916" 0 1 0 0 0 0.004674465294738 0.004674465294738 0
"10" "OG0000917" 1 1 0 0 0 0 0 0
"11" "OG0000921" 0 1 0 0 0 0 0 0
"12" "OG0000923" 0 0 0 0 0 1 1 0
"13" "OG0000926" 1 1 0 0 0 0 0 0
"14" "OG0000927" 0 0 0 0 0 1 1 0
"15" "OG0000928" 0 1 0 0 0 0.417951081771315 0.417951081771315 0
"16" "OG0000929" 0 1 0 0 0 0.817216655610811 0.817216655610811 0
"17" "OG0000930" 1 0 0 0 0 0 0 0
"18" "OG0000932" 0 1 0 0 0 0.667507561085879 0.667507561085879 0
"19" "OG0000933" 0 0 0 0 0 1 1 0
"20" "OG0000935" 1 1 0 0 0 0 0 0
"21" "OG0000936" 0 0 0 1 0 0 0 0
"22" "OG0000937" 0 0 0 0 0 0 0 1
"23" "OG0000938" 1 0 0 0 0 0 0 0
"24" "OG0000939" 0 1 0 0 0 0.175437350021963 0.175437350021963 0
"25" "OG0000941" 0 0 0 0 0 0.362074600029543 0.362074600029543 0
"26" "OG0000942" 0 0 0 0 0 0.932661024935201 0.932661024935201 0
"27" "OG0000943" 0 0 0 0 0 1 1 0
"28" "OG0000946" 0 1 0 0 0 0.0598717803088388 0.0598717803088388 0
"29" "OG0000947" 1 0 0 0 0 0 0 0
"30" "OG0000948" 0 1 0 0 0 0.664298390119122 0.664298390119122 0
"31" "OG0000952" 0 0 0 0.0596496193827347 0 0.352789279922907 0 0
