"dup_1" "dup_2" "ancestral_copy" "func"
"2" "FBgn0036620" "FBgn0042137" "FBgn0139288" "pseudo_dup_2"
"3" "FBgn0030757" "FBgn0036714" "FBgn0135191" "Conservation"
"5" "FBgn0002838" "FBgn0036815" "FBgn0139983" "pseudo_dup_1"
"6" "FBgn0036128" "FBgn0052072" "FBgn0135155" "pseudo_both"
"7" "FBgn0082598" "FBgn0262017" "FBgn0135606" "pseudo_dup_2"
"9" "FBgn0261361" "FBgn0262516" "FBgn0134604" "pseudo_both"
"10" "FBgn0033836" "FBgn0260475" "FBgn0136773" "Conservation"
"11" "FBgn0029717" "FBgn0034099" "FBgn0143033" "pseudo_both"
"13" "FBgn0034661" "FBgn0042098" "FBgn0143594" "pseudo_both"
"14" "FBgn0037731" "FBgn0052939" "FBgn0133604" "pseudo_both"
"15" "FBgn0033788" "FBgn0033789" "FBgn0142304" "pseudo_dup_2"
"16" "FBgn0033906" "FBgn0039371" "FBgn0141825" "pseudo_dup_2"
"17" "FBgn0050391" "FBgn0050393" "FBgn0141949" "pseudo_both"
"18" "FBgn0261394" "FBgn0261395" "FBgn0143799" "pseudo_dup_2"
"19" "FBgn0033875" "FBgn0034443" "FBgn0141197" "Conservation"
"20" "FBgn0034523" "FBgn0051658" "FBgn0141988" "Conservation"
"21" "FBgn0034291" "FBgn0034292" "FBgn0142020" "pseudo_both"
"23" "FBgn0028552" "FBgn0266721" "FBgn0143483" "pseudo_dup_2"
"24" "FBgn0013307" "FBgn0013308" "FBgn0143131" "Neofunctionalization(Dup1)"
"25" "FBgn0032393" "FBgn0051864" "FBgn0136928" "Conservation"
"26" "FBgn0040958" "FBgn0040959" "FBgn0135712" "pseudo_dup_1"
"28" "FBgn0042125" "FBgn0042127" "FBgn0140422" "pseudo_dup_2"
"29" "FBgn0042175" "FBgn0051683" "FBgn0140693" "Conservation"
"30" "FBgn0030764" "FBgn0032624" "FBgn0137036" "pseudo_dup_2"
"31" "FBgn0032863" "FBgn0051687" "FBgn0144932" "Conservation"
"32" "FBgn0051865" "FBgn0051866" "FBgn0147546" "pseudo_dup_1"
"33" "FBgn0051624" "FBgn0051988" "FBgn0140734" "pseudo_dup_1"
"34" "FBgn0032585" "FBgn0259716" "FBgn0280655" "Conservation"
"35" "FBgn0010422" "FBgn0030663" "FBgn0140074" "pseudo_dup_2"
"37" "FBgn0028526" "FBgn0051769" "FBgn0140131" "Conservation"
"38" "FBgn0038760" "FBgn0039170" "FBgn0146903" "pseudo_dup_2"
"39" "FBgn0039759" "FBgn0039798" "FBgn0147042" "pseudo_dup_2"
"40" "FBgn0037405" "FBgn0264899" "FBgn0147108" "pseudo_both"
"41" "FBgn0003375" "FBgn0038523" "FBgn0147519" "pseudo_both"
