"Orthogroup" "dup_1" "dup_2" "duplicate_pair_species"
"1" "OG0000897" "FBgn0004378" "FBgn0052318" "Drosophila_melanogaster_prot"
"2" "OG0000898" "FBgn0087146" "FBgn0096651" "Drosophila_ananassae_prot"
"3" "OG0000899" "FBgn0036620" "FBgn0042137" "Drosophila_melanogaster_prot"
"4" "OG0000900" "FBgn0030757" "FBgn0036714" "Drosophila_melanogaster_prot"
"5" "OG0000901" "FBgn0087248" "FBgn0101272" "Drosophila_ananassae_prot"
"6" "OG0000902" "FBgn0266436" "FBgn0266437" "Drosophila_melanogaster_prot"
"7" "OG0000903" "FBgn0135524" "FBgn0144570" "Drosophila_mojavensis_prot"
"8" "OG0000904" "FBgn0135528" "FBgn0137026" "Drosophila_mojavensis_prot"
"9" "OG0000905" "FBgn0002838" "FBgn0036815" "Drosophila_melanogaster_prot"
"10" "OG0000906" "FBgn0135412" "FBgn0139626" "Drosophila_mojavensis_prot"
"11" "OG0000907" "FBgn0135413" "FBgn0139627" "Drosophila_mojavensis_prot"
"12" "OG0000908" "FBgn0135403" "FBgn0135424" "Drosophila_mojavensis_prot"
"13" "OG0000909" "FBgn0136142" "FBgn0136143" "Drosophila_mojavensis_prot"
"14" "OG0000910" "FBgn0087416" "FBgn0097165" "Drosophila_ananassae_prot"
"15" "OG0000912" "FBgn0087460" "FBgn0098098" "Drosophila_ananassae_prot"
"16" "OG0000913" "FBgn0139461" "FBgn0144430" "Drosophila_mojavensis_prot"
"17" "OG0000914" "FBgn0135142" "FBgn0135144" "Drosophila_mojavensis_prot"
"18" "OG0000915" "FBgn0036128" "FBgn0052072" "Drosophila_melanogaster_prot"
"19" "OG0000916" "FBgn0135953" "FBgn0137340" "Drosophila_mojavensis_prot"
"20" "OG0000917" "FBgn0139330" "FBgn0144102" "Drosophila_mojavensis_prot"
"21" "OG0000918" "FBgn0139369" "FBgn0141040" "Drosophila_mojavensis_prot"
"22" "OG0000919" "FBgn0087627" "FBgn0090646" "Drosophila_ananassae_prot"
"23" "OG0000920" "FBgn0087642" "FBgn0087643" "Drosophila_ananassae_prot"
"24" "OG0000921" "FBgn0082598" "FBgn0262017" "Drosophila_melanogaster_prot"
"25" "OG0000923" "FBgn0087715" "FBgn0097361" "Drosophila_ananassae_prot"
"26" "OG0000924" "FBgn0087729" "FBgn0097135" "Drosophila_ananassae_prot"
"27" "OG0000925" "FBgn0261360" "FBgn0266136" "Drosophila_melanogaster_prot"
"28" "OG0000926" "FBgn0261361" "FBgn0262516" "Drosophila_melanogaster_prot"
"29" "OG0000927" "FBgn0134584" "FBgn0134585" "Drosophila_mojavensis_prot"
"30" "OG0000928" "FBgn0087846" "FBgn0088061" "Drosophila_ananassae_prot"
"31" "OG0000929" "FBgn0087871" "FBgn0087872" "Drosophila_ananassae_prot"
"32" "OG0000930" "FBgn0138767" "FBgn0139598" "Drosophila_mojavensis_prot"
"33" "OG0000932" "FBgn0139527" "FBgn0141038" "Drosophila_mojavensis_prot"
"34" "OG0000933" "FBgn0135447" "FBgn0281215" "Drosophila_mojavensis_prot"
"35" "OG0000935" "FBgn0134680" "FBgn0144756" "Drosophila_mojavensis_prot"
"36" "OG0000936" "FBgn0142672" "FBgn0142684" "Drosophila_mojavensis_prot"
