gene_id	transcript_id
FBgn0000008	FBtr0071764
FBgn0000014	FBtr0083388
FBgn0000015	FBtr0415463
FBgn0000017	FBtr0330133
FBgn0000018	FBtr0080168
FBgn0000022	FBtr0070072
FBgn0000024	FBtr0300486
FBgn0000028	FBtr0074015
FBgn0000032	FBtr0085610
FBgn0000036	FBtr0330310
FBgn0000037	FBtr0072368
FBgn0000038	FBtr0073299
FBgn0000039	FBtr0084639
FBgn0000042	FBtr0100663
FBgn0000043	FBtr0086029
FBgn0000044	FBtr0071519
FBgn0000045	FBtr0334090
FBgn0000046	FBtr0082785
FBgn0000047	FBtr0083143
FBgn0000052	FBtr0079221
FBgn0000053	FBtr0339663
FBgn0000055	FBtr0100589
FBgn0000056	FBtr0100187
FBgn0000057	FBtr0340288
FBgn0000061	FBtr0078053
FBgn0000063	FBtr0331348
FBgn0000064	FBtr0085000
FBgn0000071	FBtr0081618
FBgn0000075	FBtr0081153
FBgn0000077	FBtr0071331
FBgn0000078	FBtr0086983
FBgn0000079	FBtr0345521
FBgn0000083	FBtr0089520
FBgn0000084	FBtr0301931
FBgn0000092	FBtr0070504
FBgn0000094	FBtr0346141
FBgn0000097	FBtr0330659
FBgn0000100	FBtr0334113
FBgn0000108	FBtr0307291
FBgn0000109	FBtr0346440
FBgn0000114	FBtr0331645
FBgn0000115	FBtr0075517
FBgn0000116	FBtr0076543
FBgn0000117	FBtr0089992
FBgn0000119	FBtr0087702
FBgn0000120	FBtr0081030
FBgn0000121	FBtr0076599
FBgn0000137	FBtr0070075
FBgn0000139	FBtr0084660
FBgn0000140	FBtr0084692
FBgn0000146	FBtr0080165
FBgn0000147	FBtr0082483
FBgn0000150	FBtr0346150
FBgn0000152	FBtr0074372
FBgn0000153	FBtr0309960
FBgn0000157	FBtr0300076
FBgn0000158	FBtr0084869
FBgn0000163	FBtr0111000
FBgn0000166	FBtr0081668
FBgn0000173	FBtr0300566
FBgn0000179	FBtr0331162
FBgn0000180	FBtr0329984
FBgn0000181	FBtr0087783
FBgn0000182	FBtr0080803
FBgn0000183	FBtr0330226
FBgn0000206	FBtr0084949
FBgn0000212	FBtr0330160
FBgn0000216	FBtr0075621
FBgn0000221	FBtr0070638
FBgn0000227	FBtr0077423
FBgn0000228	FBtr0310625
FBgn0000229	FBtr0302378
FBgn0000233	FBtr0071379
FBgn0000239	FBtr0301342
FBgn0000241	FBtr0072117
FBgn0000244	FBtr0302382
FBgn0000246	FBtr0083194
FBgn0000247	FBtr0085484
FBgn0000250	FBtr0337081
FBgn0000251	FBtr0335152
FBgn0000253	FBtr0088001
FBgn0000256	FBtr0290078
FBgn0000257	FBtr0331158
FBgn0000259	FBtr0073562
FBgn0000261	FBtr0075058
FBgn0000273	FBtr0079851
FBgn0000274	FBtr0085727
FBgn0000276	FBtr0085612
FBgn0000277	FBtr0085614
FBgn0000278	FBtr0085640
FBgn0000279	FBtr0085616
FBgn0000283	FBtr0083126
FBgn0000286	FBtr0472669
FBgn0000287	FBtr0307093
FBgn0000289	FBtr0339961
FBgn0000299	FBtr0079001
FBgn0000303	FBtr0089367
FBgn0000307	FBtr0080838
FBgn0000308	FBtr0079235
FBgn0000316	FBtr0070065
FBgn0000317	FBtr0343686
FBgn0000318	FBtr0329967
FBgn0000319	FBtr0074180
FBgn0000320	FBtr0079335
FBgn0000326	FBtr0071687
FBgn0000330	FBtr0332315
FBgn0000337	FBtr0344723
FBgn0000339	FBtr0080848
FBgn0000346	FBtr0073754
FBgn0000351	FBtr0079320
FBgn0000352	FBtr0089015
FBgn0000355	FBtr0076572
FBgn0000356	FBtr0076574
FBgn0000357	FBtr0076571
FBgn0000358	FBtr0076573
FBgn0000359	FBtr0071203
FBgn0000360	FBtr0300448
FBgn0000370	FBtr0081512
FBgn0000376	FBtr0070496
FBgn0000377	FBtr0070418
FBgn0000382	FBtr0070379
FBgn0000384	FBtr0334157
FBgn0000392	FBtr0290322
FBgn0000394	FBtr0340464
FBgn0000395	FBtr0071610
FBgn0000404	FBtr0076075
FBgn0000405	FBtr0071911
FBgn0000406	FBtr0080932
FBgn0000411	FBtr0075746
FBgn0000412	FBtr0081987
FBgn0000414	FBtr0330189
FBgn0000416	FBtr0085713
FBgn0000422	FBtr0081167
FBgn0000426	FBtr0088010
FBgn0000427	FBtr0071145
FBgn0000439	FBtr0081621
FBgn0000442	FBtr0078042
FBgn0000447	FBtr0300442
FBgn0000448	FBtr0452140
FBgn0000449	FBtr0073205
FBgn0000451	FBtr0339899
FBgn0000454	FBtr0082833
FBgn0000455	FBtr0344982
FBgn0000459	FBtr0074250
FBgn0000463	FBtr0304658
FBgn0000464	FBtr0331239
FBgn0000473	FBtr0086133
FBgn0000477	FBtr0083538
FBgn0000479	FBtr0070509
FBgn0000482	FBtr0070269
FBgn0000489	FBtr0075528
FBgn0000490	FBtr0077775
FBgn0000492	FBtr0085441
FBgn0000499	FBtr0073454
FBgn0000500	FBtr0078989
FBgn0000504	FBtr0330074
FBgn0000520	FBtr0070487
FBgn0000524	FBtr0070914
FBgn0000527	FBtr0084106
FBgn0000529	FBtr0343855
FBgn0000533	FBtr0083083
FBgn0000535	FBtr0111009
FBgn0000536	FBtr0308619
FBgn0000541	FBtr0332102
FBgn0000542	FBtr0112802
FBgn0000543	FBtr0072903
FBgn0000546	FBtr0302439
FBgn0000547	FBtr0334265
FBgn0000551	FBtr0078408
FBgn0000552	FBtr0081688
FBgn0000557	FBtr0085833
FBgn0000559	FBtr0085912
FBgn0000560	FBtr0078437
FBgn0000562	FBtr0343272
FBgn0000564	FBtr0334930
FBgn0000565	FBtr0330177
FBgn0000566	FBtr0345422
FBgn0000567	FBtr0075204
FBgn0000568	FBtr0306814
FBgn0000575	FBtr0072578
FBgn0000576	FBtr0082863
FBgn0000577	FBtr0088096
FBgn0000578	FBtr0114623
FBgn0000579	FBtr0077905
FBgn0000581	FBtr0330623
FBgn0000588	FBtr0080325
FBgn0000591	FBtr0084961
FBgn0000592	FBtr0333383
FBgn0000594	FBtr0076004
FBgn0000606	FBtr0088390
FBgn0000611	FBtr0074135
FBgn0000615	FBtr0086244
FBgn0000617	FBtr0074463
FBgn0000618	FBtr0073540
FBgn0000625	FBtr0339921
FBgn0000629	FBtr0334067
FBgn0000633	FBtr0087625
FBgn0000635	FBtr0343523
FBgn0000636	FBtr0112805
FBgn0000639	FBtr0075749
FBgn0000640	FBtr0079808
FBgn0000644	FBtr0070542
FBgn0000658	FBtr0086754
FBgn0000659	FBtr0330333
FBgn0000662	FBtr0087647
FBgn0000667	FBtr0070345
FBgn0000709	FBtr0077192
FBgn0000711	FBtr0071446
FBgn0000715	FBtr0088383
FBgn0000719	FBtr0100538
FBgn0000721	FBtr0089310
FBgn0000723	FBtr0082052
FBgn0000808	FBtr0332309
FBgn0000810	FBtr0070396
FBgn0000826	FBtr0070234
FBgn0000927	FBtr0070485
FBgn0000928	FBtr0070484
FBgn0000964	FBtr0329891
FBgn0000996	FBtr0339999
FBgn0001075	FBtr0077478
FBgn0001077	FBtr0081625
FBgn0001078	FBtr0075086
FBgn0001079	FBtr0074602
FBgn0001083	FBtr0342733
FBgn0001084	FBtr0079712
FBgn0001085	FBtr0330102
FBgn0001086	FBtr0080833
FBgn0001087	FBtr0073842
FBgn0001089	FBtr0079230
FBgn0001090	FBtr0074657
FBgn0001091	FBtr0100479
FBgn0001092	FBtr0332618
FBgn0001098	FBtr0089498
FBgn0001099	FBtr0334082
FBgn0001104	FBtr0076934
FBgn0001105	FBtr0346794
FBgn0001108	FBtr0075756
FBgn0001112	FBtr0472596
FBgn0001114	FBtr0079727
FBgn0001120	FBtr0075697
FBgn0001122	FBtr0088267
FBgn0001123	FBtr0072143
FBgn0001124	FBtr0087231
FBgn0001125	FBtr0077868
FBgn0001128	FBtr0333229
FBgn0001133	FBtr0071548
FBgn0001134	FBtr0075139
FBgn0001137	FBtr0079708
FBgn0001138	FBtr0330188
FBgn0001139	FBtr0084966
FBgn0001142	FBtr0078115
FBgn0001145	FBtr0343561
FBgn0001147	FBtr0072461
FBgn0001148	FBtr0072444
FBgn0001149	FBtr0100410
FBgn0001150	FBtr0070460
FBgn0001168	FBtr0100153
FBgn0001169	FBtr0083916
FBgn0001170	FBtr0079227
