gene_id	transcript_id
ENSG00000000003.16	ENST00000373020.9
ENSG00000000005.6	ENST00000373031.5
ENSG00000000419.14	ENST00000371584.9
ENSG00000000457.14	ENST00000367770.5
ENSG00000000460.17	ENST00000359326.9
ENSG00000000938.13	ENST00000374005.8
ENSG00000000971.17	ENST00000367429.9
ENSG00000001036.14	ENST00000002165.11
ENSG00000001084.13	ENST00000643939.1
ENSG00000001167.15	ENST00000341376.11
ENSG00000001460.18	ENST00000337248.9
ENSG00000001461.18	ENST00000374399.9
ENSG00000001497.18	ENST00000374811.8
ENSG00000001561.7	ENST00000321037.5
ENSG00000001617.12	ENST00000002829.8
ENSG00000001626.18	ENST00000003084.11
ENSG00000001629.10	ENST00000265742.8
ENSG00000001630.18	ENST00000003100.13
ENSG00000001631.17	ENST00000394507.5
ENSG00000002016.18	ENST00000358495.8
ENSG00000002330.14	ENST00000394532.7
ENSG00000002549.13	ENST00000226299.9
ENSG00000002586.20	ENST00000381192.10
ENSG00000002587.10	ENST00000002596.6
ENSG00000002726.21	ENST00000416793.6
ENSG00000002745.13	ENST00000222462.3
ENSG00000002746.15	ENST00000395891.7
ENSG00000002822.16	ENST00000399654.6
ENSG00000002834.19	ENST00000318008.11
ENSG00000002919.15	ENST00000393405.6
ENSG00000002933.9	ENST00000484928.5
ENSG00000003056.8	ENST00000000412.8
ENSG00000003096.15	ENST00000469946.5
ENSG00000003137.9	ENST00000001146.7
ENSG00000003147.19	ENST00000422063.6
ENSG00000003249.15	ENST00000304733.8
ENSG00000003393.16	ENST00000680497.1
ENSG00000003400.16	ENST00000286186.11
ENSG00000003402.21	ENST00000309955.8
ENSG00000003436.16	ENST00000392365.5
ENSG00000003509.16	ENST00000002125.9
ENSG00000003756.17	ENST00000347869.8
ENSG00000003987.14	ENST00000180173.10
ENSG00000003989.18	ENST00000004531.14
ENSG00000004059.11	ENST00000000233.10
ENSG00000004139.14	ENST00000585482.6
ENSG00000004142.12	ENST00000540200.6
ENSG00000004399.13	ENST00000324093.9
ENSG00000004455.18	ENST00000672715.1
ENSG00000004468.13	ENST00000226279.8
ENSG00000004478.8	ENST00000001008.6
ENSG00000004487.18	ENST00000685102.1
ENSG00000004534.15	ENST00000266022.9
ENSG00000004660.15	ENST00000381769.6
ENSG00000004700.16	ENST00000444129.7
ENSG00000004766.17	ENST00000305866.10
ENSG00000004776.13	ENST00000004982.6
ENSG00000004777.19	ENST00000007510.9
ENSG00000004779.10	ENST00000007516.8
ENSG00000004799.8	ENST00000005178.6
ENSG00000004809.14	ENST00000368919.8
ENSG00000004838.14	ENST00000231749.8
ENSG00000004846.17	ENST00000404938.7
ENSG00000004848.8	ENST00000379044.5
ENSG00000004864.14	ENST00000416240.6
ENSG00000004866.22	ENST00000265437.9
ENSG00000004897.12	ENST00000531206.5
ENSG00000004939.16	ENST00000262418.12
ENSG00000004948.16	ENST00000649521.1
ENSG00000004961.15	ENST00000321143.8
ENSG00000004975.12	ENST00000005340.10
ENSG00000005001.10	ENST00000161006.8
ENSG00000005007.14	ENST00000599848.5
ENSG00000005020.13	ENST00000345317.7
ENSG00000005022.6	ENST00000317881.9
ENSG00000005059.16	ENST00000394650.7
ENSG00000005073.6	ENST00000006015.4
ENSG00000005075.16	ENST00000292614.10
ENSG00000005100.13	ENST00000225296.8
ENSG00000005102.14	ENST00000318579.9
ENSG00000005108.17	ENST00000423059.9
ENSG00000005156.12	ENST00000378526.9
ENSG00000005175.10	ENST00000005386.8
ENSG00000005187.12	ENST00000289416.10
ENSG00000005189.20	ENST00000261377.11
ENSG00000005194.15	ENST00000394391.9
ENSG00000005206.17	ENST00000613503.5
ENSG00000005238.20	ENST00000322813.10
ENSG00000005243.10	ENST00000621465.5
ENSG00000005249.14	ENST00000265717.5
ENSG00000005302.19	ENST00000312196.10
ENSG00000005339.15	ENST00000262367.10
ENSG00000005379.17	ENST00000343736.9
ENSG00000005381.9	ENST00000225275.4
ENSG00000005421.9	ENST00000222381.8
ENSG00000005436.14	ENST00000321027.8
ENSG00000005448.17	ENST00000348227.4
ENSG00000005469.12	ENST00000419147.6
ENSG00000005471.19	ENST00000265723.8
ENSG00000005483.23	ENST00000311117.8
ENSG00000005486.17	ENST00000006777.11
ENSG00000005513.11	ENST00000711628.1
ENSG00000005700.15	ENST00000306270.12
ENSG00000005801.18	ENST00000620374.4
ENSG00000005810.20	ENST00000683697.1
ENSG00000005812.11	ENST00000355619.10
ENSG00000005844.19	ENST00000356798.11
ENSG00000005882.12	ENST00000503176.6
ENSG00000005884.18	ENST00000007722.11
ENSG00000005889.16	ENST00000379188.7
ENSG00000005893.17	ENST00000706600.1
ENSG00000005961.19	ENST00000262407.6
ENSG00000005981.13	ENST00000325885.6
ENSG00000006007.12	ENST00000353258.8
ENSG00000006015.18	ENST00000358607.11
ENSG00000006016.12	ENST00000684169.1
ENSG00000006025.13	ENST00000007414.8
ENSG00000006042.12	ENST00000394642.7
ENSG00000006047.13	ENST00000007699.10
ENSG00000006059.4	ENST00000007735.4
ENSG00000006062.18	ENST00000344686.8
ENSG00000006071.16	ENST00000644772.1
ENSG00000006116.4	ENST00000005284.4
ENSG00000006118.15	ENST00000005286.8
ENSG00000006125.18	ENST00000610402.5
ENSG00000006128.12	ENST00000319273.10
ENSG00000006194.11	ENST00000575332.2
